county,Name,SymbolID,site_desc,lon,lat
Adams,1. Colburn State Wildlife Area,0,"Nearly 5,000 acres of marshes and forests draw in a nice variety of birds and wildlife. Look for herons and egrets in the marshes that run along Carter and Big Dry Creeks. The wooded areas are attractive to many nesting songbird species and numerous woodpeckers. Bald Eagles are frequently seen hunting over Colburn, which is just a few miles east of the Wisconsin River. The property supports many mammals including deer, badgers, woodchucks, mink, fox and coyotes. Colburn is a great place to hike and fish. Good roads, including Rustic Road R-5, take you around and through this property. <br><br>Phone: 715/421-7800 <br><br>Web: www.dnr.wi.gov <br><br>Signature species: Sandhill Cranes, Ruffed Grouse & American Black Duck <br><br>Rare species: Sedge Wren, Veery & Pileated Woodpecker <br><br>Gazetteer: Page 52, D-3 <br><br>Parking: Parking lots <br><br>Nearest food & lodging: Friendship",-89.678907,44.107125
Adams,2. Dells of the Wisconsin River State Natural Area,0,"This property is 1,300 acres in size and protects some of the most pristine areas of the Dells of the Wisconsin River in parts of Adams, Columbia, Juneau and Sauk Counties. The birding opportunities are great along a spectacular gorge, cliffs, tributary canyons, and unusual rock formations carved by the catastrophic drainage of glacial Lake Wisconsin some 12,000 years ago. The sandy uplands are wooded with both hardwood and pine species, including hemlock, red oak and white pine. This forest diversity draws in many different species of birds. Many unusual plants grow here including tiny asters, ferns, and sedges. <br><br>Phone: 608/339-3385 <br><br>Web: www.dnr.wi.gov <br><br>Signature Species: Northern Rough-winged Swallow, Bank wallow, Cliff Swallow & Barn Swallow <br><br>Rare Species: Yellow Warbler, Prothonotary Warbler & Northern Waterthursh <br><br>Gazetteer: Page 43, C-5 <br><br>Parking: Parking areas <br><br>Nearest food & lodging: Wisconsin Dells",-89.783707,43.649864
Adams,3. Quincy Bluff & Wetlands State Natural Area,0,"Quincy Bluff & Wetlands is a 5,102 acre, landscape-scale natural area in the flat, sandy bed of former Glacial Lake Wisconsin. Quincy Bluff and Rattlesnake Mound are both sandstone mesas that border this vast wetland complex of sedge meadow, tamarack swamp, shrub-carr and small ponds. Low sandy ridges support barrens communities of jack pine and Hill・・s oak. Quincy Bluff looms 200 feet above the wetland and is forested with oak and pine. Small forest openings support prairie plants and draw in some interesting grassland sparrows. Overhead, Turkey Vultures and Bald Eagles soar on warm currents of air, while Red-tailed Hawks perch on tree limbs along woodland edges. <br><br>Phone: 608/339-3385 <br><br>Web: www.dnr.wi.gov <br><br>Signature species: Willow Flycatcher, Great Blue Heron & Common Raven <br><br>Rare species: Blue-headed Vireo, Red-headed Woodpecker, Gray Jay & Golden-crowned Kinglet <br><br>Gazetteer: Page 43, B-5 <br><br>Parking: Parking area <br><br>Nearest food & lodging: Friendship",-89.878979,43.852355
Adams,4. Roche-a-Cri State Park & Roche-a-Cri Mound State Natural Area,0,"This 605-acre state park is dominated by a 300-foot-high rocky butte that once stood as an island surrounded by the waters of glacial Lake Wisconsin. There is excellent interpretive information about the rock at the foot of the 303-step wooden stairs that takes you to the top. Once at the top, you・・ll get a bird・・s-eye view of the flat Central Sands plain that unfolds before you. Turkey Vultures use the high mound as a roost site. Below, a long and steep talus slope and small rock shelter contains Native American petroglyphs (rock carvings). Don・・t forget your camera! <br><br>Phone: 608/565-2789 <br><br>Web: www.dnr.wi.gov <br><br>Signature species: Turkey Vultures & Bald Eagles <br><br>Rare species: Common Raven, Winter Wren & Blue-gray Gnatcatcher <br><br>Gazetteer: Page 52, D-2 <br><br>Parking: Parking lots <br><br>Nearest food & lodging: Friendship <br><br>Fee: Park fees apply.",-89.81452,44.003496
Calumet,5. Brillion Nature Center,0,"The Brillion Nature Center features a large marsh, pond, and trails for viewing wildlife. It・・s a great place to watch ducks, Sandhill Cranes, herons and nesting Osprey. Aquatic insects and frogs can be found in Jason・・s Pond. Wisconsin fish, reptiles, and amphibians can be viewed inside the nature center. There・・s a boardwalk trail to a viewing platform. Trails also lead to marsh overlooks. Watch for mink and muskrats in and along the pond edges. The 20-year-old prairie restoration here draws a mix of grassland birds and butterflies. Special events and hikes are held throughout the year and are listed on the center・・s website. <br><br>Phone: 920/756-3591 <br><br>Web: www.brillionnaturecenter.net/ <br><br>Signature species: Osprey, Yellow-headed Blackbird & Sedge Wren <br><br>Rare Species: Least Bittern, American Egret & Prothonotary Warbler <br><br>Gazetteer: Page 55, C-8 <br><br>Seasonality: Open all year <br><br>Parking: Parking lots <br><br>Nearest food & lodging: Brillion or Hilbert.",-88.094215,44.153883
Calumet,6. Brillion State Wildlife Area,0,"This 5,000-acre property offers 7.5 miles of trails for hiking and birding. There are many species of birds on the marsh, but of particular interest is the county・・s largest population",-88.105888,44.160411
Calumet,7. Calumet County Park,0,"This lovely 200-acre county park is located due south of High Cliff State Park on the eastern shore of Lake Winnebago. It offers 71 campsites, a marina and boat launch, a concession building, five miles of hiking/mountain biking trails, and historic Indian effigy mounds. It boasts the best warbler viewing in the county including Connecticut, Prairie and Black-throated Blues. Look for small shorebirds feeding along the beaches in spring and fall as well as many species of ducks just off shore. American White Pelicans nest on this lake and are interesting to see as they fly in graceful formations overhead. <br><br>Phone: 920/849-1494 or 439-1008 <br><br>Web: www.travelcalumet.com <br><br>Signature species: Yellowheaded Blackbird, Black Tern, Tennessee Warbler & Western Meadowlark <br><br>Rare species: Henslow・・s",-88.322439,44.10318
Calumet,8. High Cliff State Park & High Cliff Escarpment State Natural Area,0,"This state park is the only state-owned recreation area on Lake Winnebago, Wisconsin・・s largest inland lake. The park offers a marina, historic site, 112 cam",-88.288107,44.161334
Calumet,9. Killsnake State Wildlife Area,0,"Nearly 6,000 acres in size, the Killsnake State Wildlife Area is a favorite place for wildlife viewers because of the rivers, marshes, brushy areas and sizeable cedar swamp that harbor a diverse avian population. The property extends east into Manitowoc County. Its water resources include the Manitowoc, Killsnake and Cedar Rivers. There are prairie restorations and old grassy fields that attract many grassland birds as well as interesting mammals, like badgers. In the fall, look for Short-eared Owls hunting over the meadows. In winter, look for Roughlegged Hawks while Snow Buntings and Lapland Longspurs flock along roadsides and in fields. <br><br>Phone: 920/832-1804 <br><br>Web: www.dnr.wi.gov <br><br>Signature species: Sedge Wren, Northern Harrier, Grasshopper Sparrow & Bobolink <br><br>Rare species: Upland Sandpiper, Wilson・・s Phalarope & Dickcissel <br><br>Gazetteer: Page 55, D-8 <br><br>Seasonality: Open all year <br><br>Parking: Parking lots <br><br>Nearest food & lodging: Chilton",-88.096447,44.059713
Calumet,10. Ledge View County Park & Nature Center,0,"This 104-acre county park is home to the Ledge View Nature Center. The park has a 60-foot observation tower, an abandoned Niagara dolostone quarry, three natural caves, an arboretum and 2.5 miles of hiking trails. There is an exhibit building with live animals and museumquality interactive educational exhibits on the Niagara Escarpment, bats, lake sturgeon and birds. Hike on your own or join one of the naturalists for a bird hike. Explore the caves with a guide or climb the observation tower to get a bird・・s-eye view of the area. The escarpment is s",-88.155169,44.000797
