region,county,description
lake-superior,Ashland,"With just over 16 people per square mile, Ashland County is one of the least-populated counties in northern Wisconsin.<br>More than half of its 1,043 square miles is either in the Chequamegon-Nicolet National Forest, or the Bad River Indian Reservation.<br>The county seat, Ashland (population 8,695), is the home of Timeless Timber, a company that salvages, saws, and sells 100-year-old logs from the bottom of Lake Superior.<br>Nearby, the South Shore Brewery offers tours, and the Northern Great Lakes Visitors Center provides planning help, an observation tower, exhibits, and more.<br>West of Mellen, Morgan Falls cascades 80â€“100 feet down a dramatic 70-foot granite face."
lake-superior,Barron,"The Dakota and Chippewa Indians valued the land that is now Barron County for its clear, shallow lakes ringed with wild rice beds.<br>European settlers valued it for its timber resources.<br>Rice Lake (population 7,998) straddles the Red Cedar River and is the southern trailhead of the Wild Rivers State Trail, a 40-mile limestone railbed trail to Solon Springs.<br>Rice Lake is also home to the J.C. Bearpaw Co., featuring a global collection of mounted wildlife, and the Red Barn Theater, presenting professional summer theater.<br>The Pioneer Village Museum in Cameron recreates a historic logging town.<br>In Chetek, visitors can enjoy Time & Again Antique Mall or stay at the luxurious Canoe Bay Resort."
lake-superior,Bayfield,"Bayfield County offers picturesque scenery from the Apostle Islands to the Chequamegon-Nicolet National Forest.<br>The City of Bayfield is the gateway to the Apostle Islands National Lakeshore, which includes 21 islands and a mainland section.<br>Big Bay State Park and the Madeline Island Historical Museum are located on Madeline Island, accessible by ferry.<br>Cruises to the islands and their lighthouses operate from Bayfield.<br>Other attractions include the Bayfield Maritime Museum, Hauserâ€™s Bayfield Winery, and Big Top Chautauqua.<br>The Cable area in southern Bayfield County features the Cable Natural History Museum and over 300 miles of CAMBA Bike Trails."
lake-superior,Burnett,"Burnett County is a wonderful study in recreational
diversity. Glacial lakes pock the eastern half of the
county near Webb Lake; prime vacation area with
fishing and water sports for everyone.
Highway 35 bisects the county from Siren in the
South to Danbury in the north. The Gandy
Dancer State Trail (800/788-3164, www.bur-
nettcounty.com), a 98-mile railbed trail from St.
Croix Falls to Superior, parallels the highway. A
highlight is the 520-foot bridge over the scenic St. Croix River
just north of Danbury. On the Yellow River five miles south of
Danbury, you can visit Forts Folle Avoine (715/866-8890,
www.theforts.org), an historic reconstruction of an 1800’s fur
trading outpost and Indian village. The complex includes an
indoor museum and interpretive center.
Prairie landscapes and picturesque wetlands distinguish the
western half of the county. North of Grantsburg, the 30,000-
acre Crex Meadows Wildlife Area (715/463-2739,
www.crexmeadows.org) is the state’s largest remnant of the
Northern Wisconsin Pine Barrens. The western edge of the
county is defined by the scenic St. Croix River. The 20,000-acre
Governor Knowles State Forest (715/463-2898,
www.wiparks.net) flanks the river in a narrow band only a mile
wide, but about 50 miles long.
Green Heron.
MIKE MCDOWELL"
lake-superior,Douglas,"Douglas County’s unspoiled landscape beckons
with 431 lakes and the state tallest waterfall, 165-
foot Big Manitou Falls in Pattison Sate Park
(715/399-3111, www.wiparks.net), only a 12-mile
drive south of Superior.
Superior is the county’s largest city (population
27,134) and the county seat. With its sister city
Duluth, it is Lake Superior’s busiest port. You can
cruise the harbor aboard Vista Fleet Harbor
Cruises (218/722-6218, www.vistafleet.com). On Barker’s
Island, you can tour the S.S. Meteor Museum (715/394-5712,
www.superiorpublicmuseums.org), the last remaining whale-
back freighter on the Great Lakes. Built in 1891 for local lumber
baron Martin Pattison, Fairlawn Mansion (715/394-5712,
www.superiorpublicmuseums.org) is a 42-room Victorian jewel
that today is the city’s museum. On Harborview Parkway, visit
the Richard I. Bong World War II Heritage Center (888/816-
9944, www.bongheritagecentere.org). It honors WWII “Ace of
Aces” and Medal of Honor recipient Maj. Richard Bong of near-
by Poplar, Wisconsin.
In eastern Douglas County, the Brule River State Forest
(715/372-5678, www.wiparks.net) is famous for its canoeing,
kayaking and trout fishing."
lake-superior,Florence,"Tucked into the far northeastern corner of the state,
Florence County is about as wild and natural as
Wisconsin gets. With a countywide population of
just 5,088 people (just over ten per square mile),
Florence County is largely unpopulated.
Nearly half the county’s
natural charm is preserved in
national and county forests.
The 7,400-acre Spread Eagle
Barrens State Natural Area is a birder’s
paradise. The Pine, Popple and Peshtigo
Rivers are gems for whitewater canoeists.
These exceptional wilderness components
combine each autumn to produce one of
Wisconsin’s best fall color opportunities.
The Wild Rivers Interpretive Center
(888/889-0049,
www.florencewisconsin.com) tells the story
of this unique corner of Wisconsin. Its dio-
ramas, murals and interactive exhibits tell
the story of the county’s natural history.
Stop at the center for driving directions, birding tips and tourism
information"
lake-superior,Forest,"Forest County and its near neighbors are aptly
named, for they encompass 650,000 acres of the
Chequamegon-Nicolet National Forest. Fully 75% of
the county is national forestland, home to some of
Wisconsin’s finest wilderness. With a total of
10,024, the county population is just under ten
people per square mile.
The Forest County Potawatomi Museum
and Cultural Center (715-478-7474, www.fcpotawatomi.com)
in Crandon offers visitors four
main sections to tour: the
History of the Potawatomi, an
interactive language exhibit, a
display of different traditional
elements, and a display of the
heritage of the present day
tribe. Just east of Crandon, at
Laona, you can travel back in
time at the Lumberjack
Special Steam Train &
Camp Five Museum
Complex (800/774-3414,
www.camp5museum.org). This authentic 19th century logging
camp, farm and store also offers fun steam train rides, pontoon
and surrey rides, an animal corral and nature center."
lake-superior,Iron,"
Saxon Harbor
A
To Hurley
To Ashland
169
2
HARBOR DR
Lake
Superior
This quiet road is seldom used and the
traveler has many opportunities to park
along the roadside and walk quietly
looking at the woodlands, ferns and
wild flowers along the way. Many
species of northern birds such as
thrushes, warblers, hawks and wood-
peckers are numerous and easy to spot.
Deer and bears may be seen in the
early morning or late afternoons as
they cross the road. At Saxon Harbor,
loons and Bald Eagles are common and
sunsets are spectacular.
Directions: From Saxon in northern
Iron County travel west 4.5 miles on
Hwy 2, then turn north on Harbor Drive
and continue to Saxon Harbor on Lake
Superior. Carpenter Creek runs along
and is crossed by Harbor Drive.
Long and narrow north-to-south, Iron County is
blessed with a wealth of natural resources. From
1850-1950, the northern half of the county was a
center of iron ore mining; rem-
nants of those deep-tunnel
mines can still be seen. Today
the area is perhaps best known
for its waterfalls. The county’s
fifteen waterfalls include Superior Falls,
which drop 90-feet into the Montreal River
near its mouth on Lake Superior, and pic-
turesque Potato River Falls, which drops a
terraced 90-feet into the Potato River
southwest of Gurney. For a map of the
county’s falls, call 715/561-2922, or visit
www.ironcountywi.com.
In the southern half of the county, the
attraction is the Turtle-Flambeau
Flowage (www.turtleflambeauflowage.com). With 14,300 acres
of water and 214 miles of undeveloped shoreline, the flowage
is perfect for fishing, boating, canoeing and wildlife observation.
The Turtle-Flambeau encompasses 16 lakes, three rivers and sev-
eral creeks, all beautifully free of pollution. There are 60 remote
campsites accessible by water only. A map with the campsite
locations is available by contacting the Mercer Ranger Station at
715/476-2240"
lake-superior,Langlade,"Langlade County is a near perfect mix of woods
and water. Laced with more than 700 wilderness
lakes, 400 miles of Class I trout streams, and the
fabulous whitewater of the Wolf River, it’s a place
for kayaks and fly rods.
Antigo is the county seat and the home of
Mepps fishing lures; tours of the plant and a dis-
play of all 4,000 Mepps models are offered at
Sheldon’s, Inc. (715/623-2382, www.mepps.com).
On the eastern side of the county, the pristine Wolf River
traverses the county north-to-south. The river is a powerful
magnet that annually draws thousands of whitewater rafters,
canoeists and kayakers. Several outfitters in the White Lake area
rent all the gear necessary for a day of adventure on the river.
Just east of White Lake, Bear Paw Outdoor Adventure
Resort (715/882-3502, www.bearpawoutdoors.com) offers a
unique mix of sport shop, equipment rental, instruction, accom-
modations and restaurant. You can mix canoeing, kayaking,
mountain biking, X-C skiing, snowshoeing, trout fishing and
outdoor skills workshops in a variety of seasonal getaways."
lake-superior,Lincoln,"The Wisconsin River flows through Lincoln County,
nearly bisecting it into equal halves. Abundant
water resources web the northern half of the
county with Lake Nokomis, Lake Mohawksin, and
the Spirit River Flowage all contributing to the
Wisconsin River system. The city of Tomahawk
anchors the area – a natural vacation destination
for boaters and anglers. On display at the local
chamber of commerce office is a world record-set-
ting Black Bear and Muskellunge. Nearby, the Tomahawk Area
Historical Center (715/453-2056, www.gototomahawk.com)
displays local history in a log cabin museum and 1880’s school-
house.
To the south, Merrill straddles the scenic Wisconsin River.
Enjoy a walking tour of the city’s historic home district. The
Lincoln County Courthouse displays many local historical
exhibits, as does the nearby Merrill Historical Museum
(715/536-5652, www.ci.merrill.wi.us). West of town, Council
Grounds State Park (715/536-8773, www.wiparks.net), tucked
into a sweeping curve of the Wisconsin River, is a favorite of
water enthusiasts"
