county,Name,SymbolID,site_desc,lon,lat
Ashland,1. Big Bay State Park,0,"Located on Madeline Island, the largest of 22 Apostle Islands, this 2,418-acre park sports rugged wooded cliffs with dramatic views of Lake Superior. It contains a State Natural Area that is open for use by the public. Habitats include bogs, barrier beach, boreal forest and old growth hemlock. <br><br><strong>
<b>Phone:</b></strong> 715-747-6425 (Wisconsin DNR) <br><br><strong>
<b>Website:</b> </strong> <a href='https://www.wiparks.net' target='_blank'>https://www.wiparks.net</a> <br><br><strong>Signature Species:</strong> Common Loon, Merlin, Broad-Winged Hawk, Pileated Woodpecker. <br><br><strong>Rare Species:</strong> Peregrine Falcon. <br><br><strong>Admission:</strong> State Park vehicle entry fee. <br><br><strong>
<b>Hours:</b></strong> 6am-11pm. <br><br><strong>
<b>Seasonality:</b></strong>: Open all year. <br><br><strong>Accessibility:</strong> Fully accessible campsites and picnic areas, boardwalks. <br><br><strong><strong><strong>
<b>Nearest food & lodging:</b></strong></strong></strong> In La Pointe, 6 miles west.",-90.674629,46.800236
Ashland,2. Copper Falls State Park,0,"This 2,700-acre state park is famous for its 30-foot waterfall on the Bad River. The park is mostly forested with northern hardwoods, aspen and spruce/fir. Its river valleys, canyons, waterfalls, small lakes and bogs attract seasonal waterfowl, songbirds, and raptors. <br><br><strong>
<b>Phone:</b></strong> 715/274-5123 (Wisconsin DNR) <br><br><strong>
<b>Website:</b> </strong> <a href='https://www.wiparks.net' target='_blank'>https://www.wiparks.net</a> <br><br><strong>Admission:</strong> State Park vehicle admission sticker required. <br><br><strong>
<b>Hours:</b></strong> Park open 6am-11pm daily, all year. Office opens at 8am in the spring, summer and fall. <br><br><strong>Accessibility:</strong> Partial, with one rustic cabin for use by disabled persons, some trail sections are accessible, beach is partially accessible, shower building is accessible. <br><br><strong>
<b>Parking:</b></strong> Paved parking lots. <br><br><strong><strong><strong>
<b>Nearest food & lodging:</b></strong></strong></strong> In Mellen, two miles south.",-90.64579,46.373583
Ashland,3. Day Lake,0,"This 100-acre US Forest Service campground area flanks 625-acre Day Lake. A variety of habitats, including floating sphagnum-tamarack bogs, attract seasonal waterfowl, raptors, and Northwoods mammals. Barrier-free viewing platforms, two nesting structures and shoreline hiking trails provide great opportunities to watch osprey and bald eagle. <br><br><strong>
<b>Phone:</b></strong> 715/264-2511 (US Forest Service) <br><br><strong>
<b>Website:</b> </strong> <a href='https://www.fs.fed.us/r9/cnnf/' target='_blank'>https://www.fs.fed.us/r9/cnnf/</a> <br><br><strong>Rare Species:</strong> Bald Eagle, Osprey. <br><br><strong>Admission:</strong> Yes. <br><br><strong>
<b>Hours:</b></strong> 24/7. <br><br><strong>Accessibility:</strong> Yes. <br><br><strong>Signature Species:</strong> Waterfowl, warblers. <br><br><strong>
<b>Seasonality:</b></strong>: Best in spring, summer & fall. <br><br><strong><strong><strong>
<b>Nearest food & lodging:</b></strong></strong></strong> In Clam Lake, .5-miles southwest.",-90.913324,46.174898
Ashland,4. Fish Creek Slough,0,"A 700-acre slough close to Lake Superior. Habitat includes marsh, lagoon, edge areas, second growth hardwood forest, and boreal forest that attract seasonal waterfowl, songbirds, <br>and raptors. <br><br><strong>
<b>Phone:</b></strong> 715/682-7071 (City of Ashland) <br><br><strong>
<b>Website:</b> </strong> <a href='https://www.visitashland.com' target='_blank'>https://www.visitashland.com</a> <br><br><strong>Signature Species:</strong> Ducks, twenty species of warblers, shorebirds, wading birds, Tundra Swan, Horned Grebe, Hudsonian Godwit, Red-necked Phalarope, Black Tern, and Yellow-headed Blackbird. <br><br><strong>Rare Species:</strong> Snowy Egret, Tricolored Heron, Little Gull, Bonaparte's Gull. <br><br><strong>
<b>Hours:</b></strong> 24/7. <br><br><strong>Accessibility:</strong> Fully accessible. <br><br><strong>
<b>Parking:</b></strong> Paved Parking lot.",-90.91547,46.58258
Ashland,5. Mineral Lake,0,"This 1,000-acre US Forest Service campground area flanks 225-acre Mineral Lake. Birds found here include many interior forest birds such as the Blackthroated Blue Warbler, Winter Wren, Veery, Pileated Woodpecker, Ovenbird, Hermit Thrush, Great Crested Flycatcher, Northern Parula Warbler and woodland raptors. <br><br><strong>
<b>Phone:</b></strong> 715/264-2511 (US Forest Service) <br><br><strong>
<b>Website:</b> </strong> <a href='https://www.fs.fed.us/r9/cnnf' target='_blank'>https://www.fs.fed.us/r9/cnnf</a> <br><br><strong>Rare Species:</strong> Bald Eagle, Loon, Wood Turtle, Timber Wolf, Elk, Canada Yew. <br><br><strong>Admission:</strong> A parking permit is required at the boat landing: $3/daily or $10/annually. <br><br><strong>
<b>Hours:</b></strong> 24/7. <br><br><strong>
<b>Parking:</b></strong> There is parking at the boat landing for about 12 cars. <br><br><strong><strong><strong>
<b>Nearest food & lodging:</b></strong></strong></strong> Mellen 8 miles east, or Clam Lake 13 miles south.",-90.81728,46.297196
Barron,6. Bear Lake Sedge Meadow State Natural Area,0,"This 250-acre sedge meadow wraps a large bay on the southern shore of Bear Lake. The meadow is open with scattered islands of bog birch, alder, black spruce and tamarack close to the lake. Much of the meadow is dominated by marsh cinquefoil, cottongrass, and blue joint grass. Dragon's mouth orchid, leather leaf, bog-laurel, bogrosemary and Labrador-tea are scattered throughout. <br><br><strong>
<b>Phone:</b></strong> 608/266-7012 (Wisconsin DNR) <br><strong>
<b>Website:</b> </strong> <a href='https://www.dnr.state.wi.us/org/land/er/sna' target='_blank'>https://www.dnr.state.wi.us/org/land/er/sna</a> <br><br><strong>Signature Species:</strong> Swamp and Song Sparrow, Yellow Warbler, Sora Rail, and Sedge Wren. <br><br><strong>Rare Species:</strong> American Bittern, LeConte's Sparrow, Yellow Rail. <br><br><strong>
<b>Hours:</b></strong> 24/7. <br><br><strong><strong><strong>
<b>Nearest food & lodging:</b></strong></strong></strong> In Haugen, 1 mile east.",-91.803989,45.620161
Barron,"7. Hemlock Creek Segment, Ice Age Trail",0,"This segment of the Ice Age Trail crosses Pigeon Creek and passes through a small stand of even-age aspen and birch before reaching a prairie, which gives way to a stand of old-growth mixed hardwoods. The climax viewing area is at a large beaver pond with an Osprey nest and Great Blue Heron rookery consisting of more than 75 nests. The site offers some boardwalks. <br><strong>
<b>Phone:</b></strong> 715/537-6295 (Ice Age Park and Trail Foundation) <br><br><strong>
<b>Website:</b> </strong> <a href='https://www.iceagetrail.org' target='_blank'>https://www.iceagetrail.org</a> <br><br><strong>Signature Species:</strong> Great Blue Heron, and Osprey. <br><br><strong>
<b>Hours:</b></strong> 24/7; but closed during deer hunting season. <br><br><strong><strong><strong>
<b>Nearest food & lodging:</b></strong></strong></strong> At Birchwood, 4 miles north.",-91.575165,45.611156
Barron,8. Loon Lake State Wildlife Area,0,"This 2,752-acre site is a good place for the novice birder. A variety of habitat including forest, wetlands and Loon Lake make this area attractive to Ruffed Grouse, American Woodcock, Sandhill Cranes and Bald Eagles. <br><br><strong>
<b>Phone:</b></strong> 715/537-5046 (Wisconsin DNR)<br><br><strong>
<b>Website:</b> </strong> <a href='https://www.dnr.state.wi.us/org/land/wildlife' target='_blank'>https://www.dnr.state.wi.us/org/land/wildlife</a>",-92.127786,45.471989
Barron,9. New Auburn State Wildlife Area,0,"This 1,176-acre site offers marsh and forest uplands that are great for ducks, deer, Ruffed Grouse, American Woodcock and Sandhill Cranes. <br><br><strong>
<b>Phone:</b></strong> 715/537-5046 (Wisconsin DNR) <br><strong>
<b>Website:</b> </strong> <a href='https://www.dnr.state.wi.us/org/land/wildlife' target='_blank'>https://www.dnr.state.wi.us/org/land/wildlife</a>",-91.581688,45.231624
Barron,10. Yellow River State Fishery Area,0,"This 708-acre site is a great place to hike and enjoy berry picking, bird watching, and trout fishing. Forested upland, swamp and creek bottoms make this great habitat for deer, rabbits, and Ruffed Grouse. <br><br><strong>
<b>Phone:</b></strong> 715/537-5046 (Wisconsin DNR) <br><br><strong>
<b>Website:</b> </strong> <a href='https://www.dnr.state.wi.us/org/land/wildlife' target='_blank'>https://www.dnr.state.wi.us/org/land/wildlife</a> <br><br><strong>Signature Species:</strong> American Bittern, Virginia Rail and numerous sparrow species. <br><br><strong>Rare Species:</strong> The Snowy Owl visits occasionally in winter.",-91.914711,45.529681
Bayfield,11. Apostle Islands National Lakeshore (Little Sand Bay Visitor Center),0,"Scattered over 750 square miles of Lake Superior coastal waters, the National Lakeshore includes 21 of the 22 Apostle Islands, (69,372 acres), plus a 12-mile stretch of mainland shoreline on Lake Superior's south shore. Habitat is northern hemlock/hardwood forest, boreal forest, beaches, dunes, bogs, lagoons, and sandstone cliffs of Lake Superior. The islands provide nesting habitat for more than 150 bird spec",-90.888863,46.944989
Bayfield,12. Bark Bay Slough State Natural Area,0,"A 552-acre shore fen and open bog with sand spit, lagoon, springs and wetlands along a bay between two rocky headlands of the Lake Superior coast. <br><br><strong>
<b>Phone:</b></strong> 715-372-4866 (Wisconsin DNR)<br><br><strong>
<b>Website:</b> </strong> <a href='https://www.dnr.state.wi.us/org/land/er/sna/' target='_blank'>https://www.dnr.state.wi.us/org/land/er/sna/</a> <br><br><strong>Signature Species:</strong> Bald Eagle, Northern Harrier, Yellow Rail, and American Bittern. <br><br><strong>
<b>Hours:</b></strong> 24/7. <br><br><strong><strong><strong>
<b>Nearest food & lodging:</b></strong></strong></strong> In Herbster, 3 miles west.",-91.193733,46.84716
Bayfield,13. Marengo Overlook,0,"This 4-mile section of the North <br>Country Trail winds through the <br>Marengo Semi-Primitive, Non-motorized Area (2,400 acres). The trail has difficult sections with some steep slopes. This northern mesic hardwood forest is home to thrushes, vireos, warblers, woodpeckers, flycatchers, and woodland raptors. <br><br><strong>
<b>Phone:</b></strong> 715/634-4821 (US Forest Service) <br><br><strong>
<b>Website:</b> </strong> <a href='https://www.fs.fed.us/r9/cnnf' target='_blank'>https://www.fs.fed.us/r9/cnnf</a> <br><br><strong>
<b>Hours:</b></strong> 24/7. <br><br><strong><strong><strong>
<b>Nearest food & lodging:</b></strong></strong></strong> At Clam Lake, 10 miles southeast. The US Forest Service operates small campgrounds nearby at Beaver Lake (10 sites, 3 miles away) and Lake Three (8 sites, 6 miles away).",-91.009197,46.304608
Bayfield,14. Moquah Barrens Wildlife Area,0,"The area is a restored barrens. The vegetation is a mix of open, upland jack pine barrens, red pine savanna, and mixed pine/oak forest. There are several sandy-bottomed lakes at the southwest edge of the area. The area, well known for its blueberries, is managed with prescribed fire, and has a superb late summer wildflower bloom. <br><br><strong>
<b>Phone:</b></strong> 715/373-2667 (US Forest Service) <br><br><strong>
<b>Website:</b> </strong> <a href='https://www.fs.fed.us/r9/cnnf' target='_blank'>https://www.fs.fed.us/r9/cnnf</a> <br><br><strong>Signature Species:</strong> Sharp-tailed Grouse (the spring dancing season is tops). <br><br><strong>Rare Species:</strong> The site is well known for its open grassland bird species. <br><br><strong>
<b>Hours:</b></strong> 24/7. <br><br><strong><strong><strong>
<b>Nearest food & lodging:</b></strong></strong></strong> In Iron River, 5 miles southwest. The Forest Service operates 3 area campgrounds: Wanoka Lake (5 miles), Birch Grove (7 miles) and walk-in only Bladder Lake (1 mile).",-91.208539,46.606909
